"Round","Home","Away","Venue"
"Round 1","Richmond","Carlton","MCG"
"Round 1","Geelong Cats","Collingwood","MCG"
"Round 1","North Melbourne","Waalitj Marawar","Marvel Stadium"
"Round 1","Yartapuulti","Brisbane Lions","Adelaide Oval"
"Round 1","Narrm","Western Bulldogs","MCG"
"Round 1","Gold Coast SUNS","Sydney Swans","People First Stadium"
"Round 1","GWS GIANTS","Kuwarna","ENGIE Stadium"
"Round 1","Hawthorn","Essendon","MCG"
"Round 1","Euro-Yroke","Walyalup","Marvel Stadium"
"Round 2","Carlton","Geelong Cats","MCG"
"Round 2","Brisbane Lions","Narrm","Gabba"
"Round 2","Collingwood","Yartapuulti","MCG"
"Round 2","Kuwarna","Richmond","Adelaide Oval"
"Round 2","Western Bulldogs","Euro-Yroke","Marvel Stadium"
"Round 2","Walyalup","North Melbourne","Optus Stadium"
"Round 2","Sydney Swans","Hawthorn","SCG"
"Round 2","Essendon","Gold Coast SUNS","Marvel Stadium"
"Round 2","Waalitj Marawar","GWS GIANTS","Optus Stadium"
"Round 3","Western Bulldogs","Brisbane Lions","Marvel Stadium"
"Round 3","Collingwood","Richmond","MCG"
"Round 3","Hawthorn","North Melbourne","UTAS Stadium"
"Round 3","GWS GIANTS","Carlton","ENGIE Stadium"
"Round 3","Euro-Yroke","Essendon","MCG"
"Round 3","Yartapuulti","Kuwarna","Adelaide Oval"
"Round 3","Gold Coast SUNS","Geelong Cats","People First Stadium"
"Round 3","Narrm","Sydney Swans","MCG"
"Round 3","Walyalup","Waalitj Marawar","Optus Stadium"
"Round 4","Brisbane Lions","Collingwood","Gabba"
"Round 4","North Melbourne","Carlton","Marvel Stadium"
"Round 4","Kuwarna","Walyalup","Adelaide Oval"
"Round 4","Richmond","Western Bulldogs","MCG"
"Round 4","Euro-Yroke","Gold Coast SUNS","Marvel Stadium"
"Round 4","Sydney Swans","Yartapuulti","SCG"
"Round 4","Essendon","GWS GIANTS","Marvel Stadium"
"Round 4","Waalitj Marawar","Narrm","Optus Stadium"
"Round 4","Geelong Cats","Hawthorn","MCG"
"Round 5","Kuwarna","Carlton","Adelaide Oval"
"Round 5","Walyalup","Gold Coast SUNS","Norwood Oval"
"Round 5","Richmond","Sydney Swans","Adelaide Oval"
"Round 5","Brisbane Lions","North Melbourne","Adelaide Hills"
"Round 5","Essendon","Narrm","Adelaide Oval"
"Round 5","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Round 5","Geelong Cats","Waalitj Marawar","Adelaide Oval"
"Round 5","GWS GIANTS","Hawthorn","Norwood Oval"
"Round 5","Collingwood","Euro-Yroke","Adelaide Oval"
"Round 6","Walyalup","Western Bulldogs","Optus Stadium"
"Round 6","Yartapuulti","Waalitj Marawar","Adelaide Oval"
