"Round","Home","Away","Venue"
"Round 1","Richmond","Carlton","MCG"
"Round 1","Collingwood","Western Bulldogs","MCG"
"Round 1","Narrm","Walyalup","MCG"
"Round 1","Kuwarna","Geelong Cats","Adelaide Oval"
"Round 1","Essendon","Hawthorn","Marvel Stadium"
"Round 1","Brisbane Lions","Sydney Swans","Gabba"
"Round 1","North Melbourne","Yartapuulti","Marvel Stadium"
"Round 1","GWS GIANTS","Euro-Yroke","ENGIE Stadium"
"Round 1","Waalitj Marawar","Gold Coast SUNS","Optus Stadium"
"Round 2","Carlton","Collingwood","MCG"
"Round 2","Geelong Cats","Brisbane Lions","GMHBA Stadium"
"Round 2","Sydney Swans","Kuwarna","SCG"
"Round 2","Yartapuulti","Essendon","Adelaide Oval"
"Round 2","Euro-Yroke","Narrm","Marvel Stadium"
"Round 2","Gold Coast SUNS","North Melbourne","People First Stadium"
"Round 2","Hawthorn","Richmond","MCG"
"Round 2","Western Bulldogs","Waalitj Marawar","Marvel Stadium"
"Round 2","Walyalup","GWS GIANTS","Optus Stadium"
"Round 3","Collingwood","Brisbane Lions","Marvel Stadium"
"Round 3","North Melbourne","Western Bulldogs","Marvel Stadium"
"Round 3","Kuwarna","Gold Coast SUNS","Adelaide Oval"
"Round 3","Richmond","Sydney Swans","MCG"
"Round 3","Essendon","Euro-Yroke","Marvel Stadium"
"Round 3","Waalitj Marawar","Yartapuulti","Optus Stadium"
"Round 3","Carlton","Walyalup","Marvel Stadium"
"Round 3","GWS GIANTS","Narrm","Corroboree Group Oval Manuka"
"Round 3","Geelong Cats","Hawthorn","MCG"
"Round 4","Sydney Swans","Essendon","SCG"
"Round 4","Yartapuulti","Richmond","Adelaide Oval"
"Round 4","Western Bulldogs","Brisbane Lions","Mars Stadium"
"Round 4","Euro-Yroke","Waalitj Marawar","Marvel Stadium"
"Round 4","Gold Coast SUNS","Carlton","People First Stadium"
"Round 4","Collingwood","GWS GIANTS","MCG"
"Round 4","North Melbourne","Kuwarna","Marvel Stadium"
"Round 4","Narrm","Geelong Cats","MCG"
"Round 4","Walyalup","Hawthorn","Optus Stadium"
"Round 5","Euro-Yroke","Richmond","Marvel Stadium"
"Round 5","Waalitj Marawar","Collingwood","Optus Stadium"
"Round 5","Western Bulldogs","Gold Coast SUNS","Marvel Stadium"
"Round 5","Sydney Swans","GWS GIANTS","SCG"
"Round 5","Carlton","Yartapuulti","MCG"
"Round 5","Brisbane Lions","Essendon","Gabba"
"Round 5","Kuwarna","Walyalup","Adelaide Oval"
"Round 5","Hawthorn","Narrm","MCG"
"Round 5","Geelong Cats","North Melbourne","GMHBA Stadium"
"Round 6","GWS GIANTS","Western Bulldogs","Corroboree Group Oval Manuka"
"Round 6","Geelong Cats","Waalitj Marawar","GMHBA Stadium"
"Round 6","Gold Coast SUNS","Sydney Swans","People First Stadium"
"Round 6","Carlton","Brisbane Lions","Marvel Stadium"
"Round 6","Narrm","Richmond","MCG"
"Round 6","Walyalup","North Melbourne","Optus Stadium"
"Round 6","Hawthorn","Kuwarna","UTAS Stadium"
"Round 6","Collingwood","Essendon","MCG"
"Round 6","Yartapuulti","Euro-Yroke","Adelaide Oval"
"Round 7","Richmond","Western Bulldogs","MCG"
"Round 7","Collingwood","Gold Coast SUNS","MCG"
"Round 7","Kuwarna","GWS GIANTS","Adelaide Oval"
"Round 7","Euro-Yroke","Hawthorn","Marvel Stadium"
"Round 7","Brisbane Lions","Yartapuulti","Gabba"
"Round 7","Sydney Swans","Geelong Cats","SCG"
"Round 7","North Melbourne","Narrm","Ninja Stadium"
"Round 7","Essendon","Carlton","MCG"
"Round 7","Waalitj Marawar","Walyalup","Optus Stadium"
"Round 8","Richmond","Geelong Cats","MCG"
"Round 8","Gold Coast SUNS","Euro-Yroke","People First Stadium"
"Round 8","GWS GIANTS","Essendon","ENGIE Stadium"
"Round 8","North Melbourne","Collingwood","Marvel Stadium"
"Round 8","Narrm","Sydney Swans","MCG"
"Round 8","Yartapuulti","Kuwarna","Adelaide Oval"
"Round 8","Hawthorn","Waalitj Marawar","MCG"
"Round 8","Western Bulldogs","Carlton","Marvel Stadium"
"Round 8","Brisbane Lions","Walyalup","Gabba"
"Round 9","Euro-Yroke","Geelong Cats","Marvel Stadium"
"Round 9","Sydney Swans","Collingwood","SCG"
"Round 9","Hawthorn","North Melbourne","UTAS Stadium"
"Round 9","Gold Coast SUNS","Brisbane Lions","People First Stadium"
"Round 9","Richmond","GWS GIANTS","Marvel Stadium"
"Round 9","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Round 9","Essendon","Walyalup","Marvel Stadium"
"Round 9","Narrm","Carlton","MCG"
"Round 9","Waalitj Marawar","Kuwarna","Optus Stadium"
"Round 10","Brisbane Lions","Richmond","Gabba"
"Round 10","Carlton","Hawthorn","MCG"
"Round 10","Geelong Cats","Gold Coast SUNS","GMHBA Stadium"
"Round 10","Kuwarna","Narrm","Adelaide Oval"
"Round 10","Western Bulldogs","Euro-Yroke","Marvel Stadium"
"Round 10","Walyalup","Sydney Swans","Optus Stadium"
"Round 10","GWS GIANTS","Waalitj Marawar","ENGIE Stadium"
"Round 10","Collingwood","Yartapuulti","MCG"
"Round 10","Essendon","North Melbourne","Marvel Stadium"
"Round 11","Western Bulldogs","Narrm","Marvel Stadium"
"Round 11","Collingwood","Geelong Cats","MCG"
"Round 11","Brisbane Lions","GWS GIANTS","Gabba"
"Round 11","Euro-Yroke","North Melbourne","Marvel Stadium"
"Round 11","Gold Coast SUNS","Hawthorn","SCG"
"Round 11","Waalitj Marawar","Essendon","Optus Stadium"
"Round 11","Richmond","Kuwarna","ENGIE Stadium"
"Round 11","Sydney Swans","Carlton","SCG"
"Round 11","Yartapuulti","Walyalup","Adelaide Oval"
"Round 12","Narrm","Brisbane Lions","ENGIE Stadium"
"Round 12","Sydney Swans","Euro-Yroke","SCG"
"Round 12","Kuwarna","Collingwood","Adelaide Oval"
"Round 12","Essendon","Richmond","Optus Stadium"
"Round 12","Carlton","Waalitj Marawar","SCG"
"Round 12","Walyalup","Western Bulldogs","Optus Stadium"
"Round 13","Yartapuulti","Geelong Cats","Adelaide Oval"
"Round 13","Sydney Swans","Hawthorn","SCG"
"Round 13","Walyalup","Gold Coast SUNS","Optus Stadium"
"Round 13","Euro-Yroke","Kuwarna","Cazalys Stadium"
"Round 13","North Melbourne","GWS GIANTS","Ninja Stadium"
"Round 13","Waalitj Marawar","Richmond","Optus Stadium"
"Round 13","Narrm","Collingwood","SCG"
"Round 14","Geelong Cats","Western Bulldogs","GMHBA Stadium"
"Round 14","Gold Coast SUNS","Yartapuulti","People First Stadium"
"Round 14","North Melbourne","Brisbane Lions","Ninja Stadium"
"Round 14","GWS GIANTS","Carlton","ENGIE Stadium"
"Round 14","Hawthorn","Essendon","UTAS Stadium"
"Round 15","Brisbane Lions","Geelong Cats","Gabba"
"Round 15","Richmond","Euro-Yroke","MCG"
"Round 15","Collingwood","Walyalup","Marvel Stadium"
"Round 15","North Melbourne","Gold Coast SUNS","Ninja Stadium"
"Round 15","Yartapuulti","Sydney Swans","Adelaide Oval"
"Round 15","Essendon","Narrm","MCG"
"Round 15","GWS GIANTS","Hawthorn","MCG"
"Round 15","Waalitj Marawar","Western Bulldogs","Optus Stadium"
"Round 15","Carlton","Kuwarna","Marvel Stadium"
"Round 16","Gold Coast SUNS","Richmond","Marvel Stadium"
"Round 16","Geelong Cats","Essendon","GMHBA Stadium"
"Round 16","Narrm","GWS GIANTS","MCG"
"Round 16","Kuwarna","Brisbane Lions","Adelaide Oval"
"Round 16","Walyalup","Carlton","MCG"
"Round 16","Hawthorn","Yartapuulti","Marvel Stadium"
"Round 16","Sydney Swans","Waalitj Marawar","GMHBA Stadium"
"Round 16","Collingwood","Euro-Yroke","MCG"
"Round 16","Western Bulldogs","North Melbourne","Marvel Stadium"
"Round 17","Yartapuulti","Narrm","Adelaide Oval"
"Round 17","Essendon","Kuwarna","Marvel Stadium"
"Round 17","Hawthorn","Walyalup","UTAS Stadium"
"Round 17","Carlton","Geelong Cats","MCG"
"Round 17","Brisbane Lions","Euro-Yroke","People First Stadium"
"Round 17","GWS GIANTS","Gold Coast SUNS","Mars Stadium"
"Round 17","Western Bulldogs","Sydney Swans","Marvel Stadium"
"Round 17","Richmond","Collingwood","MCG"
"Round 17","Waalitj Marawar","North Melbourne","Optus Stadium"
"Round 18","Walyalup","Geelong Cats","Optus Stadium"
"Round 18","Richmond","Brisbane Lions","People First Stadium"
"Round 18","Euro-Yroke","Yartapuulti","Marvel Stadium"
"Round 18","Gold Coast SUNS","Western Bulldogs","People First Stadium"
"Round 18","Narrm","Hawthorn","MCG"
"Round 18","North Melbourne","Essendon","People First Stadium"
"Round 18","Collingwood","Carlton","MCG"
"Round 18","Kuwarna","Waalitj Marawar","Adelaide Oval"
"Round 18","GWS GIANTS","Sydney Swans","People First Stadium"
"Round 19","Yartapuulti","Collingwood","Marvel Stadium"
"Round 19","Carlton","North Melbourne","Marvel Stadium"
"Round 19","Brisbane Lions","Gold Coast SUNS","Gabba"
"Round 19","Waalitj Marawar","Euro-Yroke","Optus Stadium"
"Round 19","Narrm","Western Bulldogs","MCG"
"Round 19","Kuwarna","Hawthorn","Marvel Stadium"
"Round 19","Sydney Swans","Walyalup","People First Stadium"
"Round 19","Geelong Cats","Richmond","MCG"
"Round 19","Essendon","GWS GIANTS","People First Stadium"
"Round 20","Euro-Yroke","Carlton","Marvel Stadium"
"Round 20","Western Bulldogs","Kuwarna","Mars Stadium"
"Round 20","North Melbourne","Geelong Cats","Ninja Stadium"
"Round 20","Collingwood","Waalitj Marawar","MCG"
"Round 20","Gold Coast SUNS","Narrm","Marvel Stadium"
"Round 20","Hawthorn","Brisbane Lions","UTAS Stadium"
"Round 20","Essendon","Sydney Swans","MCG"
"Round 20","Walyalup","Richmond","Optus Stadium"
"Round 20","GWS GIANTS","Yartapuulti","Marvel Stadium"
"Round 21","Geelong Cats","GWS GIANTS","GMHBA Stadium"
"Round 21","Carlton","Gold Coast SUNS","Marvel Stadium"
"Round 21","Richmond","North Melbourne","MCG"
"Round 21","Kuwarna","Yartapuulti","Adelaide Oval"
"Round 21","Euro-Yroke","Sydney Swans","Marvel Stadium"
"Round 21","Hawthorn","Collingwood","MCG"
"Round 21","Western Bulldogs","Essendon","Marvel Stadium"
"Round 21","Walyalup","Brisbane Lions","Optus Stadium"
"Round 21","Waalitj Marawar","Narrm","Optus Stadium"
"Round 22","GWS GIANTS","Richmond","Marvel Stadium"
"Round 22","Hawthorn","Western Bulldogs","UTAS Stadium"
"Round 22","Geelong Cats","Euro-Yroke","GMHBA Stadium"
"Round 22","Yartapuulti","Carlton","Adelaide Oval"
"Round 22","Brisbane Lions","Collingwood","Gabba"
"Round 22","North Melbourne","Sydney Swans","Marvel Stadium"
"Round 22","Narrm","Kuwarna","MCG"
"Round 22","Gold Coast SUNS","Essendon","GMHBA Stadium"
"Round 22","Walyalup","Waalitj Marawar","Optus Stadium"
"Round 23","Western Bulldogs","Yartapuulti","Marvel Stadium"
"Round 23","Richmond","Hawthorn","MCG"
"Round 23","Sydney Swans","Gold Coast SUNS","Marvel Stadium"
"Round 23","Brisbane Lions","Waalitj Marawar","Gabba"
"Round 23","Geelong Cats","Narrm","GMHBA Stadium"
"Round 23","Carlton","GWS GIANTS","Marvel Stadium"
"Round 23","Euro-Yroke","Walyalup","Ninja Stadium"
"Round 23","Essendon","Collingwood","MCG"
"Round 23","Kuwarna","North Melbourne","Adelaide Oval"
"Finals Week 1","Yartapuulti","Geelong Cats","Adelaide Oval"
"Finals Week 1","Sydney Swans","GWS GIANTS","UTAS Stadium"
"Finals Week 1","Narrm","Brisbane Lions","Adelaide Oval"
"Finals Week 1","Western Bulldogs","Essendon","UTAS Stadium"
"Semi Finals","Geelong Cats","GWS GIANTS","Optus Stadium"
"Semi Finals","Brisbane Lions","Western Bulldogs","Gabba"
"Preliminary Finals","Narrm","Geelong Cats","Optus Stadium"
"Preliminary Finals","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Grand Final","Narrm","Western Bulldogs","Optus Stadium"
