"Round","Home","Away","Venue"
"Opening Round","Sydney Swans","Narrm","SCG"
"Opening Round","Brisbane Lions","Carlton","Gabba"
"Opening Round","Gold Coast SUNS","Richmond","People First Stadium"
"Opening Round","GWS GIANTS","Collingwood","ENGIE Stadium"
"Round 1","Carlton","Richmond","MCG"
"Round 1","Collingwood","Sydney Swans","MCG"
"Round 1","Essendon","Hawthorn","MCG"
"Round 1","GWS GIANTS","North Melbourne","ENGIE Stadium"
"Round 1","Geelong Cats","Euro-Yroke","GMHBA Stadium"
"Round 1","Gold Coast SUNS","Kuwarna","People First Stadium"
"Round 1","Narrm","Western Bulldogs","MCG"
"Round 1","Yartapuulti","Waalitj Marawar","Adelaide Oval"
"Round 1","Walyalup","Brisbane Lions","Optus Stadium"
"Round 2","Euro-Yroke","Collingwood","MCG"
"Round 2","Kuwarna","Geelong Cats","Adelaide Oval"
"Round 2","North Melbourne","Walyalup","Marvel Stadium"
"Round 2","Hawthorn","Narrm","MCG"
"Round 2","Sydney Swans","Essendon","SCG"
"Round 2","Western Bulldogs","Gold Coast SUNS","Mars Stadium"
"Round 2","Richmond","Yartapuulti","MCG"
"Round 2","Waalitj Marawar","GWS GIANTS","Optus Stadium"
"Round 3","Brisbane Lions","Collingwood","Gabba"
"Round 3","North Melbourne","Carlton","Marvel Stadium"
"Round 3","Walyalup","Kuwarna","Optus Stadium"
"Round 3","Essendon","Euro-Yroke","Marvel Stadium"
"Round 3","Yartapuulti","Narrm","Adelaide Oval"
"Round 3","Western Bulldogs","Waalitj Marawar","Marvel Stadium"
"Round 3","Richmond","Sydney Swans","MCG"
"Round 3","Hawthorn","Geelong Cats","MCG"
"Round 4","Kuwarna","Narrm","Adelaide Oval"
"Round 4","Brisbane Lions","North Melbourne","Norwood Oval"
"Round 4","Yartapuulti","Essendon","Adelaide Oval"
"Round 4","Waalitj Marawar","Sydney Swans","Adelaide Hills"
"Round 4","Walyalup","Carlton","Adelaide Oval"
"Round 4","Western Bulldogs","Geelong Cats","Adelaide Oval"
"Round 4","Gold Coast SUNS","GWS GIANTS","Adelaide Hills"
"Round 4","Richmond","Euro-Yroke","Norwood Oval"
"Round 4","Collingwood","Hawthorn","Adelaide Oval"
"Round 5","Narrm","Brisbane Lions","MCG"
"Round 5","Western Bulldogs","Essendon","Marvel Stadium"
"Round 5","GWS GIANTS","Euro-Yroke","Corroboree Group Oval Manuka"
"Round 5","Carlton","Kuwarna","Marvel Stadium"
"Round 5","Gold Coast SUNS","Hawthorn","People First Stadium"
"Round 5","Yartapuulti","Walyalup","Adelaide Oval"
"Round 5","Geelong Cats","North Melbourne","GMHBA Stadium"
"Round 5","Waalitj Marawar","Richmond","Optus Stadium"
"Round 6","Euro-Yroke","Western Bulldogs","Marvel Stadium"
"Round 6","Kuwarna","Essendon","Adelaide Oval"
"Round 6","Collingwood","Yartapuulti","MCG"
"Round 6","Carlton","GWS GIANTS","Marvel Stadium"
"Round 6","Brisbane Lions","Geelong Cats","Gabba"
"Round 6","Waalitj Marawar","Walyalup","Optus Stadium"
"Round 6","Sydney Swans","Gold Coast SUNS","SCG"
"Round 6","North Melbourne","Hawthorn","Marvel Stadium"
"Round 7","Richmond","Narrm","MCG"
"Round 7","Essendon","Collingwood","MCG"
"Round 7","GWS GIANTS","Brisbane Lions","Corroboree Group Oval Manuka"
"Round 7","Yartapuulti","Euro-Yroke","Adelaide Oval"
"Round 7","North Melbourne","Kuwarna","Ninja Stadium"
"Round 7","Geelong Cats","Carlton","MCG"
"Round 7","Walyalup","Western Bulldogs","Optus Stadium"
"Round 7","Gold Coast SUNS","Waalitj Marawar","People First Stadium"
"Round 7","Hawthorn","Sydney Swans","MCG"
"Round 8","Kuwarna","Yartapuulti","Adelaide Oval"
"Round 8","Carlton","Collingwood","MCG"
"Round 8","Sydney Swans","GWS GIANTS","SCG"
"Round 8","Euro-Yroke","North Melbourne","Marvel Stadium"
"Round 8","Narrm","Geelong Cats","MCG"
"Round 8","Waalitj Marawar","Essendon","Optus Stadium"
"Round 8","Richmond","Walyalup","MCG"
"Round 8","Western Bulldogs","Hawthorn","Marvel Stadium"
"Round 8","Brisbane Lions","Gold Coast SUNS","Gabba"
"Round 9","Carlton","Narrm","MCG"
"Round 9","Geelong Cats","Yartapuulti","GMHBA Stadium"
"Round 9","Walyalup","Sydney Swans","Optus Stadium"
"Round 9","Hawthorn","Euro-Yroke","UTAS Stadium"
"Round 9","Essendon","GWS GIANTS","Marvel Stadium"
"Round 9","Richmond","Western Bulldogs","MCG"
"Round 9","Gold Coast SUNS","North Melbourne","TIO Stadium"
"Round 9","Collingwood","Waalitj Marawar","Marvel Stadium"
"Round 9","Kuwarna","Brisbane Lions","Adelaide Oval"
"Round 10","Gold Coast SUNS","Geelong Cats","TIO Stadium"
"Round 10","Sydney Swans","Carlton","SCG"
"Round 10","Collingwood","Kuwarna","MCG"
"Round 10","GWS GIANTS","Western Bulldogs","ENGIE Stadium"
"Round 10","Euro-Yroke","Walyalup","Marvel Stadium"
"Round 10","Brisbane Lions","Richmond","Gabba"
"Round 10","Essendon","North Melbourne","Marvel Stadium"
"Round 10","Yartapuulti","Hawthorn","Adelaide Oval"
"Round 10","Waalitj Marawar","Narrm","Optus Stadium"
"Round 11","Western Bulldogs","Sydney Swans","Marvel Stadium"
"Round 11","Walyalup","Collingwood","Optus Stadium"
"Round 11","North Melbourne","Yartapuulti","Ninja Stadium"
"Round 11","Carlton","Gold Coast SUNS","Marvel Stadium"
"Round 11","Geelong Cats","GWS GIANTS","GMHBA Stadium"
"Round 11","Richmond","Essendon","MCG"
"Round 11","Hawthorn","Brisbane Lions","Marvel Stadium"
"Round 11","Narrm","Euro-Yroke","MCG"
"Round 11","Kuwarna","Waalitj Marawar","Adelaide Oval"
"Round 12","Yartapuulti","Carlton","Adelaide Oval"
"Round 12","Collingwood","Western Bulldogs","Marvel Stadium"
"Round 12","Hawthorn","Kuwarna","MCG"
"Round 12","Waalitj Marawar","Euro-Yroke","Optus Stadium"
"Round 12","Geelong Cats","Richmond","GMHBA Stadium"
"Round 12","Narrm","Walyalup","TIO Traeger Park"
"Round 12","Gold Coast SUNS","Essendon","People First Stadium"
"Round 13","Kuwarna","Richmond","Adelaide Oval"
"Round 13","Western Bulldogs","Brisbane Lions","Marvel Stadium"
"Round 13","Hawthorn","GWS GIANTS","UTAS Stadium"
"Round 13","Waalitj Marawar","North Melbourne","Optus Stadium"
"Round 13","Euro-Yroke","Gold Coast SUNS","Marvel Stadium"
"Round 13","Sydney Swans","Geelong Cats","SCG"
"Round 13","Essendon","Carlton","MCG"
