"Round","Home","Away","Venue"
"Round 1","Narrm","Western Bulldogs","MCG"
"Round 1","Carlton","Richmond","MCG"
"Round 1","Euro-Yroke","Collingwood","Marvel Stadium"
"Round 1","Geelong Cats","Essendon","MCG"
"Round 1","GWS GIANTS","Sydney Swans","ANZ Stadium"
"Round 1","Brisbane Lions","Yartapuulti","Gabba"
"Round 1","Hawthorn","North Melbourne","MCG"
"Round 1","Kuwarna","Walyalup","Adelaide Oval"
"Round 1","Waalitj Marawar","Gold Coast SUNS","Optus Stadium"
"Round 2","Western Bulldogs","Carlton","Marvel Stadium"
"Round 2","Sydney Swans","Geelong Cats","SCG"
"Round 2","Collingwood","Kuwarna","MCG"
"Round 2","Essendon","Brisbane Lions","Marvel Stadium"
"Round 2","Yartapuulti","Hawthorn","Adelaide Oval"
"Round 2","Gold Coast SUNS","Narrm","People First Stadium"
"Round 2","North Melbourne","Waalitj Marawar","Marvel Stadium"
"Round 2","Richmond","GWS GIANTS","MCG"
"Round 2","Walyalup","Euro-Yroke","Optus Stadium"
"Round 3","Western Bulldogs","Sydney Swans","Marvel Stadium"
"Round 3","Narrm","Essendon","MCG"
"Round 3","Kuwarna","Yartapuulti","Adelaide Oval"
"Round 3","GWS GIANTS","Gold Coast SUNS","ENGIE Stadium"
"Round 3","Collingwood","Geelong Cats","MCG"
"Round 3","Brisbane Lions","North Melbourne","Gabba"
"Round 3","Carlton","Hawthorn","MCG"
"Round 3","Euro-Yroke","Richmond","Marvel Stadium"
"Round 3","Waalitj Marawar","Walyalup","Optus Stadium"
"Round 4","Yartapuulti","Narrm","Adelaide Oval"
"Round 4","Geelong Cats","Brisbane Lions","GMHBA Stadium"
"Round 4","Sydney Swans","North Melbourne","SCG"
"Round 4","Collingwood","Waalitj Marawar","Marvel Stadium"
"Round 4","Richmond","Western Bulldogs","MCG"
"Round 4","Walyalup","GWS GIANTS","Optus Stadium"
"Round 4","Essendon","Kuwarna","Marvel Stadium"
"Round 4","Hawthorn","Euro-Yroke","MCG"
"Round 4","Gold Coast SUNS","Carlton","People First Stadium"
"Round 5","Brisbane Lions","Collingwood","Gabba"
"Round 5","North Melbourne","Western Bulldogs","Marvel Stadium"
"Round 5","Waalitj Marawar","Sydney Swans","Optus Stadium"
"Round 5","Euro-Yroke","Gold Coast SUNS","Marvel Stadium"
"Round 5","Kuwarna","Richmond","Adelaide Oval"
"Round 5","Narrm","GWS GIANTS","MCG"
"Round 5","Carlton","Yartapuulti","MCG"
"Round 5","Essendon","Walyalup","Marvel Stadium"
"Round 5","Hawthorn","Geelong Cats","MCG"
"Round 6","GWS GIANTS","Euro-Yroke","Corroboree Group Oval Manuka"
"Round 6","Western Bulldogs","Kuwarna","Mars Stadium"
"Round 6","Yartapuulti","Waalitj Marawar","Adelaide Oval"
"Round 6","Walyalup","Carlton","Optus Stadium"
"Round 6","North Melbourne","Geelong Cats","Ninja Stadium"
"Round 6","Gold Coast SUNS","Brisbane Lions","People First Stadium"
"Round 6","Richmond","Narrm","MCG"
"Round 6","Hawthorn","Sydney Swans","UTAS Stadium"
